title,publication_type,date,year,venue,authors,abstract,source,full_text_available
"Hard-sphere model of the B2 → B19’ phase transformation, and its application to predict the B19’ structure in NiTi alloys and the B19 structures in other binary alloys",Article,May 2024,2024,Acta Materialia,Cyril Cayron,,Uploaded ResearchGate text,False
Monitoring of laser-induced fast recrystallization in SS-316L through synchrotron X-ray diffraction,Article,Feb 2024,2024,Materials & Design,Claire NavarreSteven Van PetegemLucas Schlenger[...]Roland E. Logé,,Uploaded ResearchGate text,True
Customized Mechanical Properties and Tailored Microstructures in Stainless Steel 316l-Aluminium Alloys Via Laser Powder Bed Fusion and Ex Situ / in Situ Heat Treatments,Preprint,Jan 2024,2024,,Claire NavarreCyril CayronMaxence Buttard[...]Roland E. Logé,,Uploaded ResearchGate text,False
A partial overview on the crystallography of martensitic transformations and twinning,Presentation,Dec 2023,2023,,Cyril Cayron,"A brief overview on the crystallography martensite and deformation twins: - Concepts: lattice distortion, orientation, correspondence, variants, PTMC, simple shear, invariant plane strain, hard-sphere, angular distortion, correspondence theory - Materials: steels, titanium alloys, NiTi shape memory alloys, magnesium.",Uploaded ResearchGate text,True
In-situ Selective Laser Heat Treatment for microstructural control of additively manufactured Ti-6Al-4V,Article,Nov 2023,2023,Additive Manufacturing,Reza EsmaeilzadehMilad Hamidi NasabCharlotte de Formanoir[...]Roland E. Logé,,Uploaded ResearchGate text,True
Reza EsmaeilzadehMilad Hamidi NasabCharlotte de Formanoir[...]Roland E. Logé,Article,Nov 2023,2023,Acta Materialia,Junfeng XiaoCyril CayronM. Van der MeerRoland E. Logé,,Uploaded ResearchGate text,True
Revealing the microstructure evolution of the deformed superelastic NiTi wire by EBSD,Article,Jun 2023,2023,Acta Materialia,Junfeng XiaoCyril CayronRoland E. Logé,,Uploaded ResearchGate text,True
Simple shear extrusion versus equal channel angular pressing: A comparative study on the microstructure and mechanical properties of an Mg alloy,Article,Jun 2023,2023,Journal of Magnesium and Alloys,Alireza RezaeiR. MahmudiCyril CayronRoland E. Logé,"Two severe plastic deformation (SPD) techniques of simple shear extrusion (SSE) and equal channel angular pressing (ECAP) were employed to process an extruded Mg−6Gd−3Y−1.5Ag (wt%) alloy at 553 K for 1, 2, 4 and 6 passes. The microstructural evolutions were studied by electron back scattered diffraction (EBSD) analysis and transmission electron mic...",Uploaded ResearchGate text,False
Reply to “Comment: On the nature of ‘unconventional twins’ in magnesium”,Article,Feb 2023,2023,Scripta Materialia,Cyril Cayron,"We agree with Lin et al.’s comment Lin et al.’s (2022). The interpretation we proposed to explain the twins formed in a single crystal of magnesium (Cayron and Logé, 2018) was not correct.",Uploaded ResearchGate text,False
Laser powder-bed fusion of a high entropy alloy with outstanding intrinsic mechanical properties,Article,Feb 2023,2023,Journal of Alloys and Compounds,Navid SohrabiRuoshi RanPau Ayuso Duro[...]Roland E. Logé,"In the past few years, laser powder-bed fusion (LPBF) of high entropy alloys (HEAs) has gained significant interest. We investigated a HEA (PdPtRhIrCuNi) elaborated by LPBF, and studied its microstructure and mechanical properties. This alloy has potential applications in luxury industries, as well as in medical technologies. The microstructure con...",Uploaded ResearchGate text,True
Response of magnesium microcrystals to c-axis compression and contraction loadings at low and high strain rates,Article,Feb 2023,2023,Acta Materialia,Nicolo Maria della VenturaAmit SharmaCyril Cayron[...]Xavier Maeder,,Uploaded ResearchGate text,True
An investigation on reorientation and textural evolution in a martensitic NiTi rolled sheet using EBSD,Article,Oct 2022,2022,International Journal of Plasticity,Junfeng XiaoCyril CayronRoland E. Logé,"Variant reorientation is a ubiquitous phenomenon in shape memory alloys and has a great influence on their texture and mechanical response. In the present study, a martensitic NiTi rolled sheet is investigated by the electron backscattering diffraction (EBSD) technique; the variant reorientation and texture evolution are followed during bending. Th...",Uploaded ResearchGate text,True
Thermally Controlled Growth of Photoactive FAPbI 3 Films for Highly Stable Perovskite Solar Cells,Article,Sep 2022,2022,Energy & Environmental Science,Sandy SanchezStefania CacovichGuillaume Vidon[...]Michael Grätzel,We employ flash infrared annealing to investigate the phase transition of formamidinium lead triiodide (FAPbI3) thin films for their solar cell applications. Measuring the enthalpy changes of the FAPbI3 composition at different heating rates allows us to calculate an activation energy of 1.8 eV for the black perovskite phase transition. We explore...,Uploaded ResearchGate text,False
Order-driven evolution of precipitates in Al-Mg-Si-Cu alloys: from past to future research,Presentation,Sep 2022,2022,,Cyril Cayron,"To find the best Cu % and Mg/Si ratio and optimize the heat treatments in 6xxx alloys, we need to answer the following questions: What are the crystallographic structures of the nano-precipitates? What is their precipitation sequence? Do they dissolve to re-precipitate in other forms or do they ""evolve"" during their growth? The aim of the presentat...",Uploaded ResearchGate text,True
The concept of axial weak twins,Article,Sep 2022,2022,Acta Materialia,Cyril Cayron,"It is generally assumed that the parent-twin interface is a fully invariant plane. The calculations of the rational interfaces of the type I twins and irrational interfaces of the type II twins are based on this hypothesis. Recently, some asymmetric facets and unconventional twins have been observed in magnesium that do not agree with this paradigm...",Uploaded ResearchGate text,False
Effect of chromium content on microstructural evolution of CoNiAlW superalloy,Article,Aug 2022,2022,Applied Physics A,Aliakbar Fallah SheykhlariHossein ArabiSeyed Mohammad Ali BoutorabiCyril Cayron,"Effects of chromium (Cr) content on types and morphologies of various phases of a newly developed Co–Ni–Al–W superalloy (Co-30Ni-6W-9Al-3Ti-1Ta) have been investigated in this study. Microstructural examinations were carried out by field-emission scanning electron microscope (FESEM), electron backscatter diffraction (EBSD), high-resolution transmis...",Uploaded ResearchGate text,True
A method to reduce N-dimensional lattices and solve N-dimensional Bézout's identities (25 slides),Presentation,May 2022,2022,,Cyril Cayron,"Given N integers a,b,c.... find other small integers such that au + bv + cw + .. = 1 (Bézout's identity), and find also other small integers such that au + bv + cw +... = 0 (integer relation). Not so easy ! This presentation explains how lattices can be reduced by hyperplane shearing and how this method can be used to find solutions to Bézout's ide...",Uploaded ResearchGate text,True
"The correspondence theory of martensitic transformations (mp4, 27 min, 122MB, ICOMAT 2022)",Presentation,Apr 2022,2022,,Cyril Cayron,"The correspondence theory explains why the junction planes of type I twin between the martensite variants are generic rational planes, and why the 180° rotation axes of the type II twins are generic rational directions, and how they can be easily calculated from the correspondence matrix and the symmetry matrices of the parent phase. The lattice pa...",Uploaded ResearchGate text,True
Hot rocks: Constraining the thermal conditions of the Mistastin Lake impact melt deposits using zircon grain microstructures,Article,Apr 2022,2022,Earth and Planetary Science Letters,Gavin TolomettiTimmons EricksonGordon R. Osinski[...]C.D. Neish,"The production of superheated melt during hypervelocity impact events has been proposed to be a common occurrence on terrestrial planetary bodies. Recent direct evidence of superheated impact melt temperatures exceeding >2370°C from the Kamestastin (Mistastin Lake) impact structure, Canada, was based on a single impact glass sample. Such high super...",Uploaded ResearchGate text,False
Evolution of deformation twinning mechanisms in magnesium from low to high strain rates,Article,Apr 2022,2022,Materials & Design,Nicolo della VenturaAmit SharmaManish Jain[...]Xavier Maeder,"We present a systematic investigation of {101¯2} extension twinning mechanism in single crystal magnesium micropillars deformed over seven orders of magnitude of strain rate, from 10–4 to 500 s⁻¹, revealing how the accommodation of newly formed twins evolves with and depends on the kinetic compatibility of interfacial processes when high deformatio...",Uploaded ResearchGate text,True
The correspondence theory of martensitic transformations in 28 slides,Presentation,Feb 2022,2022,,Cyril Cayron,The is an extended version of a presentation that will be given at ICOMAT 2022 in March 2022. It gives the details of a new approach of the crystallography of martensite transformations. The twins between the variants are deduced from the parent symmetries that constitute the inter-correspondence operators. The relative roles of symmetries and metr...,Uploaded ResearchGate text,True
The Correspondence Theory and Its Application to NiTi Shape Memory Alloys,Article,Jan 2022,2022,Crystals,Cyril Cayron,"Martensite crystallography is usually described by the phenomenological theory of martensite crystallography (PTMC). This theory relies on stretch matrices and compatibility equations, but it does not give a global view on the structures of variants, and it masks the relative roles of the symmetries and metrics. Here, we propose an alternative theo...",Uploaded ResearchGate text,True
Understanding variant selection and texture in additively manufactured red-gold alloys,Article,Jan 2022,2022,Scripta Materialia,Hossein Ghasemi TabasiMargaux N. D. LarcherCyril Cayron[...]Roland E. Logé,"Printing gold alloys parts is a challenge due to the high reflectivity and thermal conductivity of these materials. Recent studies show an improvement in printing gold using the Laser Powder Bed Fusion (LPBF) process; however, the impact of the A1→L10 phase transformation on printed red-gold alloy has not been studied. In this work, 3D printed red-...",Uploaded ResearchGate text,True
A new method for lattice reduction using directional and hyperplanar shearing,Article,Jan 2022,2022,Acta Crystallographica Section A: Foundations and Advances,Cyril Cayron,A geometric method of lattice reduction based on cycles of directional and hyperplanar shears is presented. The deviation from cubicity at each step of the reduction is evaluated by a parameter called ‘basis rhombicity’ which is the sum of the absolute values of the elements of the metric tensor associated with the basis. The levels of reduction ar...,Uploaded ResearchGate text,True
Persistence of variant selection in red gold alloys,Article,Dec 2021,2021,Journal of Alloys and Compounds,Margaux N. D. LarcherCyril CayronAndreas Blatter[...]Roland E. Logé,"Recently, a new thermally activated distortion with amplification (TADA) effect has been reported in red gold alloys caused by the A1 → L10 phase transformation. The macroscopic amplification is due to the persistence of variant selection nucleated under stress but growing in stress-free condition. In this work, we show that the TADA effect can gen...",Uploaded ResearchGate text,False
Micro-addition of Fe in highly alloyed Cu-Ti alloys to improve both formability and strength,Article,Dec 2021,2021,Materials & Design,Baptiste RouxelCyril CayronJulien Bornand[...]Roland E. Logé,"Cu-Be alloys provide excellent electrical and mechanical properties, but present serious health hazards during manufacturing. Among alternative alloys, the Cu-Ti system has the highest yield strength; however, Ti cannot be easily solutionized at concentrations above 4 wt%, resulting in a relatively low formability. In this study, Cu-xTi-yFe (x = 3,...",Uploaded ResearchGate text,True
"Reply to “Response to “Diffraction artefacts from twins and stacking faults, and the mirage of hexagonal, polytypes or other superstructures""”",Article,Oct 2021,2021,Scripta Materialia,Cyril Cayron,We reaffirm that the high-resolution electron microscopy image used by Jenkins and Smith as a proof of the existence of a 9R structure of the Cu nanoprecipitates in iron alloy results from a moiré effect. The herringbone motif in the image can be interpreted as an interference between the body centred cubic lattice of iron and the same lattice cont...,Uploaded ResearchGate text,False
A fast algorithm to find reduced hyperplane unit cells and solve N-dimensional Bézout’s identities,Article,Aug 2021,2021,Acta Crystallographica Section A: Foundations and Advances,Cyril Cayron,"Deformation twinning on a plane is a simple shear that transforms a unit cell attached to the plane into another unit cell equivalent by mirror symmetry or 180° rotation. Thus, crystallographic models of twinning require the determination of the short unit cells attached to the planes, or hyperplanes for dimensions higher than 3. Here, a method is...",Uploaded ResearchGate text,True
Deciphering extreme mineral records; microstructural phase heritage of shocked materials,Article,Aug 2021,2021,Microscopy and Microanalysis,Timmons EricksonNicholas TimmsAaron J. Cavosie[...]Cyril Cayron,,Uploaded ResearchGate text,True
Microstructural evolution and superplastic behavior of a fine-grained Mg−Gd−Y−Ag alloy processed by simple shear extrusion,Article,Jan 2021,2021,Materials Science and Engineering A,Alireza RezaeiR. MahmudiCyril CayronRoland E. Logé,Two magnesium alloys with the nominal compositions of Mg−6Gd−3Y (GW63) and Mg−6Gd−3Y−1Ag (GW63−1Ag) were hot extruded and then processed by 6 passes of the simple shear extrusion (SSE) process at 553 K. Both SEM and EBSD studies confirmed the mean grain size reduction of the extruded base GW63 alloy from 10.1 to 2.9 μm by adding 1 wt% Ag. This decr...,Uploaded ResearchGate text,False
Superplastic behavior of a severely deformed Mg–6Gd−3Y−0.5Ag alloy,Article,Jan 2021,2021,Materials Science and Engineering A,Alireza RezaeiR. MahmudiCyril CayronRoland E. Logé,"An extruded Mg–6Gd−3Y−0.5Ag magnesium alloy was processed by the simple shear extrusion (SSE) technique at 553 K for 1, 2, 4 and 6 passes to refine the microstructure. The electron back scattered diffraction (EBSD) analysis was used to investigate the microstructural evolutions of the alloy after the SSE processing. The grain orientation spread (GO...",Uploaded ResearchGate text,False
Lattice reduction by cubification,Preprint,Jan 2021,2021,,Cyril Cayron,"Lattice reduction is a NP-hard problem well known in computer science and cryptography. The Lenstra-Lenstra-Lovasz (LLL) algorithm based on the calculation of orthogonal Gram-Schmidt (GS) bases is efficient and gives a good solution in polynomial time. Here, we present a new approach called cubification that does not require the calculation of the...",Uploaded ResearchGate text,True
Formation Mechanism of Laves Phase with Two Morphologies in a Novel 9Cr-3W-3Co-1CuVNbB Steel During Creep Process,Article,Jan 2021,2021,SSRN Electronic Journal,B. XiaoHaokai DongTao Yang[...]Lianyong Xu,,Uploaded ResearchGate text,False
Unconventional Deformation Twinning Mechanisms in Magnesium at High Strain Rates,Article,Jan 2021,2021,SSRN Electronic Journal,Nicolo della VenturaAmit SharmaManish Jain[...]Xavier Maeder,,Uploaded ResearchGate text,False
"Diffraction artefacts from twins and stacking faults, and the mirage of hexagonal, polytypes or other superstructures",Article,Nov 2020,2020,Scripta Materialia,Cyril Cayron,"Recently, a hexagonal phase has been reported in high carbon steels in several studies. Here, we show that the electron microscopy results used in these studies were erroneously interpreted. The extra-spots in the diffraction patterns and the odd contrasts in the high resolution images are not those a superstructure but result from double diffracti...",Uploaded ResearchGate text,True
Axial heterotwins,Preprint,Nov 2020,2020,,Cyril Cayron,The current theory of twin crystallography is based on the concept of invariant plane. The present paper extends the theory to encompass the cases of heterotwins in which the composition plane is only quasi-invariant.,Uploaded ResearchGate text,True
The current theory of twin crystallography is based on the concept of invariant plane. The present paper extends the theory to encompass the cases of heterotwins in which the composition plane is only quasi-invariant.,Conference Paper,Nov 2020,2020,,Margaux N. D. LarcherCyril CayronAndreas Blatter[...]Roland E. Logé,,Uploaded ResearchGate text,True
The B2-B19’ orientation relationships and their continuums revealed by EBSD and TKD observations of NiTi alloys,Conference Paper,Nov 2020,2020,,Cyril Cayron,,Uploaded ResearchGate text,False
"Evidence of extensive lunar crust formation in impact melt sheets 4,330 Myr ago",Article,Oct 2020,2020,Nature Astronomy,Lee WhiteAna CernokJames Darling[...]Mahesh Anand,"Accurately constraining the formation and evolution of the lunar magnesian suite is key to understanding the earliest periods of magmatic crustal building that followed accretion and primordial differentiation of the Moon. However, the origin and evolution of these unique rocks is highly debated. Here, we report on the microstructural characterizat...",Uploaded ResearchGate text,True
Diagram of the SPS joining orientation according to the sample orientation.,Article,Aug 2020,2020,Metals,Foad NaimiJean-Claude NiepceMostapha Ariane[...]Frédéric Bernard,"Difficulties with joining oxide dispersion-strengthened (ODS) steels using classical welding processes have led to the development of alternative joining techniques such as spark plasma sintering (SPS). SPS, which is classically employed for performing sintering, may also be used to join relatively large components due to the simultaneous applicati...",Uploaded ResearchGate text,True
The Thermally Activated Distortion with Amplification Effect and related variant selection in red gold alloys,Article,Aug 2020,2020,Acta Materialia,Margaux N. D. LarcherCyril CayronAndreas Blatter[...]Roland E. Logé,Variant selection during the A1→L10 transformation in a polycrystalline red gold alloy close to equiatomic Au-Cu composition has been extensively studied by Electron Back Scattered Diffraction (EBSD) in our previous work. The use of a mathematical description of the lattice distortion and the maximal work criterion allowed us to quantify the degree...,Uploaded ResearchGate text,True
What EBSD and TKD Tell Us about the Crystallography of the Martensitic B2-B19 Transformation in NiTi Shape Memory Alloys,Article,Jul 2020,2020,Crystals,Cyril Cayron,"The complex and intricate microstructure of B19' martensite in shape memory nickel titanium alloys is generally explained with the Phenomenological Theory of Martensitic Crystallography (PTMC). Over the last decade, we have developed an alternative approach that supposes the existence of a ""natural"" parent-daughter orientation relationship (OR). As...",Uploaded ResearchGate text,True
Solute-dislocation interactions and creep-enhanced Cu precipitation in a novel ferritic-martensitic steel,Article,May 2020,2020,Acta Materialia,B. XiaoLianyong XuCyril Cayron[...]Roland E. Logé,"G115 steel has gained a growing interesting recently for its use in next-generation ultra-supercritical power plant applications. Due to the high densities of dislocations and lath martensite boundaries in G115 steel, interactions between solutes and dislocations result in unique microstructural evolution during creep with the formation of dense Cu...",Uploaded ResearchGate text,False
A simple example to show that there is no need of Lagrange multipliers to solve a constrained optimization problem.,Presentation,Apr 2020,2020,,Cyril Cayron,"This presentation just aims at promoting a method that could be useful. As the manuscript in Arxviv (under review) seems not so easy to read, I decided to explain the method with 11 slides (among which 4 are reminder about matrices and determinants).",Uploaded ResearchGate text,True
van der Waals Epitaxy of Earth-Abundant Zn3P2 on Graphene for Photovoltaics,Article,Apr 2020,2020,Crystal Growth & Design,Rajrupa PaulNicolas HumblotSimon Escobar Steinvall[...]Anna Fontcuberta i Morral,"Earth-abundant semiconducting materials are a potential solution for large-scale deployment of solar cells at a lower cost. Zinc phosphide (Zn3P2) is one such Earth-abundant material with optoelectronic properties suitable for photovoltaics. Herein, we report the van der Waals epitaxy of tetragonal Zn3P2 (α-Zn3P2) on graphene using molecular beam e...",Uploaded ResearchGate text,True
Solving constrained optimization problems without Lagrange multipliers,Preprint,Mar 2020,2020,,Cyril Cayron,"Constrained optimization problems exist in all the domain of science, such as thermodynamics, mechanics, economics etc. For more than two centuries, these problems have been solved with the help of the Lagrange multipliers and the Lagrangian function. This method has however the disadvantage that it adds the number of constraint equations to the di...",Uploaded ResearchGate text,True
Complements to Mügge and Friedel’s Theory of Twinning,Article,Feb 2020,2020,Metals,Cyril Cayron,"The crystallography of twinning is based on the concepts of simple shear and obliquity introduced by Mügge, Mallard and Friedel at the turn of the last century, with tensor mathematics later developed by Bilby, Bevis and Crocker in the 1960s. We propose a synthesis of these works by writing the three transformations (distortion, orientation and cor...",Uploaded ResearchGate text,True
"Diffraction Artefacts from Twins and Stacking Faults, and the Mirage of Hexagonal, Polytypes or Other Supersuperstructures",Article,Jan 2020,2020,SSRN Electronic Journal,Cyril Cayron,,Uploaded ResearchGate text,False
Cyril Cayron,Conference Paper,Jan 2020,2020,Gavin TolomettiTimmons EricksonGordon R. Osinski[...]Catherine Neish,View,"Red gold lamella under stress in the four-point bending device before... Reference stress-free sample heated at 320°C for 1 h. (a) EBSD map,... 3D schematic of the variants formed on each (110) plane of the cube....",Uploaded ResearchGate text,False
Electron backscatter diffraction study of variant selection during ordering phase transformation in L10-type red gold alloy,Article,Oct 2019,2019,Journal of Applied Crystallography,Margaux N. D. LarcherCyril CayronAndreas Blatter[...]Roland E. Logé,"A shape-memory effect is known to appear in red gold alloys with compositions close to Au–Cu. The aim of this paper is to study by electron backscatter diffraction (EBSD) the variant selection in the A1 → L10 transformation occurring under stress, in bending conditions. The L10 domains are successfully identified by this technique despite the c/a r...",Uploaded ResearchGate text,True
"The transformation matrices (distortion, orientation, correspondence), their continuous forms and their variants. Corrigenda",Article,Aug 2019,2019,Acta Crystallographica Section A: Foundations and Advances,Cyril Cayron,"Appendices B4 and B5 of Cayron [Acta Cryst. (2019), A75, 411–437] contain equations involving the point group and the metric tensor in which the equality symbol should be substituted by the inclusion symbol.",Uploaded ResearchGate text,True
On the chevron morphology of surface martensite,Article,Aug 2019,2019,Acta Materialia,Annick BaurCyril CayronRoland E. Logé,"It is established that the annealing twin boundaries of austenite act as nucleation sites for the martensitic transformation. In the present study, we observe that in surface martensite the transformation only takes place for twin boundaries that are approximately vertical in respect with the sample free surface. This phenomenon is shown to be rela...",Uploaded ResearchGate text,True
"Reversing the way of thinking deformation twinnning, and the unconventional twin in a single crystal of magnesium",Presentation,Jul 2019,2019,,Cyril CayronRoland E. Logé,"Deformation twinning is assumed to be a simple shear. The associated mechanism is often described in term of disconnections. Within this paradigm, many funadmental questions remain unsoved. We propose to imagine deformation twinning as a phase transformation (driven by stress), without imposing the simple strain condition to the atomic displacement...",Uploaded ResearchGate text,True
Effect of tensile deformation on variant selection in {225}γ plate martensite and {557}γ lath martensite,Article,Jul 2019,2019,Results in Materials,Annick BaurCyril CayronRoland E. Logé,"The effect of tensile deformation on variant selection has been studied in {225}γ plate martensite and {557}γ lath martensite formed in high- and low-carbon steels, respectively. Different thermomechanical treatments are performed to analyse the effect of applied tensile stress, in the elastic and plastic range and the effect of prior plastic tensi...",Uploaded ResearchGate text,True
"Shock-produced high-pressure (La, Ce, Th)PO4 polymorph revealed by microstructural phase heritage of monazite",Article,Apr 2019,2019,Geology,Timmons EricksonNicholas TimmsMark Alan Pearce[...]David A. Kring,,Uploaded ResearchGate text,False
"The transformation matrices (distortion, orientation, correspondence), their continuous forms and their variants",Article,Apr 2019,2019,Acta Crystallographica Section A: Foundations and Advances,Cyril Cayron,"The crystallography of displacive/martensitic phase transformations can be described with three types of matrix: the lattice distortion matrix, the orientation relationship matrix and the correspondence matrix. Given here are some formulae to express them in crystallographic, orthonormal and reciprocal bases, and an explanation is offered of how to...",Uploaded ResearchGate text,True
Effect of powder characteristics and oxygen content on modifications to the microstructural topology during hot isostatic pressing of an austenitic steel,Article,Apr 2019,2019,Acta Materialia,S. IrukuvarghulaHany HassaninCyril Cayron[...]Michael Preuss,"The effect of powder size distribution and oxygen content on the extent of multiple twinning and spatial distribution of oxide inclusions in hot isostatic pressed (HIPed)316L steels was investigated using powders with different characteristics. Modifications to, and differences in their microstructural topology, were tracked quantitatively by evalu...",Uploaded ResearchGate text,False
Microstructures and Properties of Martensitic Materials,Article,Mar 2019,2019,Crystals,Cyril Cayron,"Martensite, initially named in honor of Adolph Martens and his pioneering work in metallography and microstructures at the end of the 19th century, has now a far broader meaning than previously used [...]",Uploaded ResearchGate text,True
Experimental and theoretical investigation of crystallography and variant selection during massive transformation in Zr alloy,Article,Feb 2019,2019,Philosophical Magazine,J.M. WangB.F. LuanRenlong Xin[...]Q. Liu,"Massive transformation, as a non-conventional solid-state phase transformation mode, is scarcely observed in metals with hexagonal closed packed (HCP) structure, especially in Zr and its alloys. In this study, however, we report the massive transformation in a Zr-1.0Cr-0.4Fe alloy after conventional β-quenching. It is shown that the necessary condi...",Uploaded ResearchGate text,False
Study on Bainite/Martensite Transformation in Reheated Weld Metals,Article,Dec 2018,2018,Materials Science Forum,Gaojun MaoCyril CayronRui CAO[...]Jian Hong Chen,"A new combination of laser scanning confocal microscope (LSCM) and electron backscattering diffraction (EBSD) with a field-emission scanning electron microscope (SEM) is utilized to study the mechanism of bainite transformation in reheated low carbon bainitic weld metal. The LSCM observations show that laths grow on the surface at various rates, fr...",Uploaded ResearchGate text,True
